i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i
1027.4,1268,1389.8,1886.6,1994.6,2174.2,2279.9,2432.7,2613.8,2795.2,2914.1,3022.6,3096.7,3218.3,3415,3537.3,3646.6,3748,3834.3,3941.4,4016.3,4137,4404.4,4564.7,4671.2
1082.2,1306.4,1451.4,1924.3,2052.7,2219.1,2348,2559,2688.9,2866.8,2985.2,3086,3156.4,3296.8,3487.7,3609.6,3712,3803.7,3888.8,4003.2,4073.1,4215.9,4453.8,4607.4,4739.2
