l,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b
1986,2190.2,2342.4,2513.6,2629.5,2861.8,2976,3183.5,3297.4,3476.8,3583.3,3749.6,3913.2,4052.4,4167.2,4271,4345,4459.4,4598.8,4717.9,4827.9,4927.1,5008.4,5112,5187.2,5304,5512.4,5636.2,5745.3,5824.1,5937.5,6126.4,6248.1,6358.5,6457.8,6543.2,6647.3,6722.9,6839.8,7104.1,7280.1,7391.5,7537.3,7716.7,7856.3,7979.2,8085.4,8162.7,8281.8,8469.6,8594.7,8703.6,8803.3,8887.9,8993.3,9069.4,9189.9,9456.8,9616.1,9720.4,9882.4,10063,10241,10357,10470,10570,10656,10763,10839,10964,11146,11263,11375,11477,11563,11667,11743,11863,12168,12378,12693,12835,12965,13075,13260,13368,13587,13689,13766,13883,14060,14189,14297,14398,14483,14590,14664,14784,15023,15505,15626,15891,16024,16165,16272,16423,16609,16800,16920,17033,17133,17219,17324,17401
2022.7,2226.9,2385,2550.6,2688.5,2900.4,3043.1,3223.5,3360.9,3517.7,3647,3858,3987.4,4123.7,4235.7,4333.2,4402,4537.2,4673.9,4790.3,4890.8,4978.3,5067.1,5178.9,5246,5382.8,5584.4,5708.4,5809.6,5879.9,6014.2,6195.5,6321.1,6423.2,6513.3,6598.4,6708.7,6784.8,6916.9,7154.3,7321.5,7457.7,7664.6,7793.9,7931.7,8050.8,8152.2,8217.8,8359.8,8544.3,8666.7,8768.3,8857.7,8945,9059.5,9126.8,9267.6,9512.3,9658.1,9790.4,10009,10143,10314,10434,10534,10628,10712,10826,10895,11044,11222,11339,11441,11534,11620,11732,11802,11939,12219,12418,12730,12890,13012,13145,13304,13437,13646,13755,13822,13961,14134,14262,14362,14454,14545,14656,14727,14860,15094,15544,15684,15931,16083,16209,16339,16555,16686,16876,16995,17096,17190,17280,17385,17458
