l,i,l,i,l,i,l,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,f,a,b,r
1223,1399.4,1609.7,1752.7,1982.1,2151.7,2338.8,2674.2,2788.6,3030.6,3145.6,3304.7,3489.1,3662.8,3786.4,3894,3970.1,4087.9,4259.4,4389.6,4499.4,4600.1,4687,4795.3,4868.6,4988.9,5262.7,5437.5,5542.3,5699,5887.9,6065.5,6186.1,6298.4,6373.5,6495.2,6767.5,6916.6,7020.9,7169.2,7363.2,7501.8,7627.1,7738.8,7839.8,7925.7,8033,8108.2,8231.2,8423.8,8547.2,8657.2,8733.8,8852.3,9139.5,9281.7,9386.3,9536.1,9730.6,9908.5,10029,10142,10244,10332,10440,10516,10640,11082,11224,11328,11500,11602,11677,11797,11970,12095,12208,12312,12398,12506,12582,12703,13141,13291,13399,13565,13670,13824,14011,14214,14337,14449,14552,14638,14748,14824,14944,15374,15617,15723,15880,15983,16163,16267,16441,16544,16620,16741
1258.3,1443.8,1646.5,1801.4,2021.4,2205.4,2378.7,2716.4,2851.5,3071.9,3212.6,3435.9,3564.5,3738.7,3857.8,3958,4024.8,4168.5,4334.2,4460.7,4561.9,4657.6,4747.7,4856,4924.1,5068.2,5316.1,5482.3,5610.8,5834.1,5967.1,6139.4,6257,6363.2,6431.2,6572.7,6821.9,6957,7086.2,7308.2,7443.1,7576.7,7698.4,7799.1,7896.9,7985.8,8095.9,8168.6,8311.6,8498.9,8617.7,8721.1,8790.2,8931.5,9190.9,9326.9,9460.2,9677.2,9807.1,9982.1,10103,10208,10300,10390,10505,10574,10715,11132,11268,11389,11555,11662,11732,11880,12045,12168,12275,12369,12459,12572,12642,12781,13192,13335,13474,13613,13736,13961,14093,14292,14412,14514,14606,14698,14813,14879,15021,15421,15661,15795,15927,16055,16211,16336,16498,16610,16676,16821
