l,i,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1981.9,2378.5,2566.2,2701.8,2811.6,2912.1,2997.7,3102,3180.7,3295.7,3590.1,3753.5,3863.1,4012.8,4111.2,4188.2,4305.3,4720.5,4891.8,5002.4,5153.4,5347.3,5527.2,5645.1,5754.2,5856.7,5942.7,6049.9,6124.5,6244.5,6461,6584.9,6694.3,6771.2,6892.8,7318.2,7478.1,7583.4,7768.3,7871.3,8031.5,8134.4,8210.2,8329.3,8521.2,8641.7,8751.7,8854.2,8940.5,9046.2,9122.2,9245.8,10053,10216,10324,10480,10671,10879,10996,11106,11184,11301,11496,11617,11730,11831,11917,12026,12101,12222
2015.8,2423.7,2634.8,2771.2,2874.3,2968.9,3052.1,3162.5,3236.9,3372.4,3642.8,3793.2,3929.8,4067.3,4173.4,4243.9,4384.7,4771.3,4936.2,5069,5292.6,5424.4,5600.4,5716.8,5820.2,5914.5,5996.8,6109.2,6184.6,6320.3,6532.9,6658,6758.5,6834.9,6972.3,7364.7,7522.2,7648,7808.2,7946.3,8089.8,8201.7,8274,8408.5,8593.2,8712.1,8816,8913.1,8999.9,9110.1,9179.4,9326.8,10097,10260,10392,10617,10748,10951,11071,11172,11242,11381,11569,11691,11794,11889,11978,12090,12163,12300
