l,i,l,i,l,i,l,i,l,i,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
5249.1,5397.3,5623.3,5878,6055.1,6170.5,6409.9,6516.1,6688.6,6793.8,7061.9,7232.1,7428.6,7565.2,7683.2,7788.2,7865.4,7983.7,8238.7,8375.6,8485.7,8637.2,8831.2,9004.5,9121.4,9231.2,9307.2,9426.2,9596.2,9720.4,9830.5,9933.3,10020,10125,10199,10321,10592,10723,10831,10980,11181,11346,11471,11581,11658,11777,11955,12076,12187,12289,12376,12482,12556,12679,13007,13141,13246,13570,13704,13809,13957,14153,14300,14427,14540,14645,14733,14840,14916,15038,15238,15361,15473,15575,15663,15772,15850,15974
5290.3,5460.2,5669.6,5929.8,6106.5,6241.4,6456.6,6585.6,6739.6,6866.9,7123.6,7374.6,7506.6,7637.8,7751.8,7858.2,7927.4,8061.4,8306.9,8426.7,8559.1,8778.9,8913.2,9077.7,9193.8,9298.8,9366.2,9511.9,9670.8,9791.2,9898,9991.2,10081,10191,10266,10401,10654,10775,10908,11126,11264,11420,11546,11650,11721,11860,12031,12150,12256,12348,12439,12549,12623,12759,13072,13190,13326,13635,13756,13892,14101,14235,14377,14502,14609,14703,14796,14907,14984,15119,15314,15436,15542,15635,15727,15841,15912,16053
