l,i,l,i,l,l,i,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1991.6,2279.6,2553.8,2782.6,3075,3214.5,3430,3972.3,4166.2,4309.3,4505.2,4625.6,4783.2,4884.2,4964,5077.8,5253.7,5371.1,5480.4,5583,5670.3,5774.8,5850.3,5974.5,6158.5,6278.5,6392.7,6467.5,6585,6788.2,6908.8,7019.3,7121,7207.3,7313.5,7390.4,7512.1,7923.6,8109.4,8219.3,8459.1,8562.1,8784.3,8887.8,9060.8,9230.6,9401.8,9523,9632.6,9736.8,9824.8,9931.1,10008,10128,10331,10449,10559,10664,10750,10858,10936,11056,11250,11381,11494,11598,11685,11793,11871,11995
2033.8,2335.6,2594,2840.1,3118.3,3257.7,3484,4024.7,4204.1,4369.7,4545.3,4686.7,4838.8,4948.6,5018.6,5157.2,5326.6,5444.6,5547.7,5641.5,5731.6,5840.3,5907.1,6054.9,6234.2,6354.6,6458.9,6530.6,6666.9,6865.4,6982,7084.8,7181.3,7269.2,7379.5,7452.4,7594.8,7987.8,8158.5,8294.9,8503.8,8640.3,8829.8,8970.3,9175.8,9314.2,9479.4,9596.6,9701.6,9797.1,9881.2,9996.6,10066,10208,10408,10524,10626,10724,10810,10923,10998,11140,11324,11458,11562,11658,11747,11861,11934,12078
