l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1976.6,2093.2,2326.4,2455.6,2588.6,2698.4,2910.9,3084.7,3258.2,3393.2,3547.5,3647.6,3724.3,3840.8,4020.1,4138.2,4249.3,4328.4,4445.7,4629.1,4746.7,4857.4,4934.9,5051.4,5280.8,5400.8,5510.3,5611.5,5699.3,5805.2,5884.3,6000.9,6241.5,6353.5,6593.3,6708,6872.8,7068.2,7226.2,7354,7462.3,7658,7832.8,7951.2,8062.6,8164.3,8250.8,8357.8,8433.8,8555.4,9024,9196.3,9300.9,9491.7,9598.4,9759.6,9931.8,10131,10252,10362,10440,10557,10762,10881,10990,11092,11178,11283,11360,11482
2010.2,2146.7,2367.7,2518.5,2627.5,2759.4,2951.2,3139.2,3300.2,3455.8,3599.8,3709.6,3784.8,3916.6,4092.2,4209.8,4312.6,4380.8,4519.8,4699.1,4819.7,4920.2,4992,5128.3,5352.7,5472.4,5573.9,5667.9,5753.6,5868.5,5931.8,6076.9,6284.5,6424.2,6634.8,6776.4,7013,7143.2,7299.5,7426.6,7526.8,7735.2,7905.6,8023.8,8128.5,8221.8,8306.2,8422.9,8486.4,8635.1,9077.8,9240.7,9375.1,9540.1,9664.6,9877.6,10008,10204,10326,10427,10491,10635,10835,10954,11057,11149,11237,11349,11418,11559
