l,i,l,i,l,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r
1370.2,1793.1,1992.2,2145,2297.2,2475.3,2579.3,2897.5,3017.4,3175.2,3276.6,3354,3470.4,3645.6,3767.3,3874.3,3951.5,4070,4271.5,4391.6,4500.8,4603.3,4689.4,4796.2,4874.1,4990.9,5300.5,5440.1,5542.9,5695.5,5890.7,6080.8,6201.5,6316,6392.1,6510.8,6826.1,7005,7118.8,7266.6,7463.2,7647.8,7766.6,7877.4,7954,8074.1,8373.5,8534.3,8638.5,8789.6,8977.4,9155.5,9282.4,9392.4,9469.8,9588.2,9797.6,9921.7,10031,10135,10224,10330,10408,10529,10953,11065,11269,11373,11523,11715,11893,12018,12129,12207,12329,12506,12631,12747,12851,12939,13046,13124,13247,13590,13740,13852,14150,14253,14450,14641,14830,14953,15067,15142,15268
1406.1,1841.5,2035.9,2205.9,2342.7,2516,2642.6,2939.8,3074.2,3232.4,3339.6,3410.5,3549.4,3720.3,3839,3940.8,4011.1,4151,4343.9,4463.7,4570.2,4662.7,4751.2,4863.9,4937.5,5072.5,5354.4,5485.2,5614.7,5835.8,5968.9,6153.4,6277.7,6382.3,6453.4,6593.2,6881.3,7050.7,7192.4,7411.1,7544.8,7721.1,7838.2,7944.6,8017.8,8155.9,8434.3,8578.9,8719.2,8923.2,9058.2,9232.4,9353.5,9460.6,9526.9,9671.8,9870.8,9990.9,10100,10194,10285,10399,10472,10612,10992,11147,11315,11457,11662,11796,11968,12092,12197,12268,12414,12585,12707,12816,12911,13001,13115,13191,13328,13651,13787,13922,14196,14324,14589,14724,14906,15029,15135,15210,15351
