l,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,b,d,f,a,b,r,n,n,a,b,r,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
2744,3158.5,3302.5,3420.2,3536.7,3673.2,3776.7,3994.9,4105,4240.8,4427.3,4572.1,4693.7,4797.8,4870.5,4989.9,5158.4,5280.1,5387.4,5489.2,5575.9,5681.4,5757.7,5877,6197.1,6372.1,6477.1,6652.7,6754.8,6901,7013.2,7201.1,7316.7,7464,7643.9,7822.7,7951.5,8059,8133.1,8252.9,8419.1,8541.3,8650.1,8751.4,8837.8,8945.2,9021.7,9141.3,9332.8,9464.5,9574.9,9678.9,9765.2,9871.4,9949.4,10071,10638,10792,10935,11045,11144,11302,11492,11675,11800,11910,12011,12099,12204,12281,12402,12610,12733,12842,12921,13040,13335,13507,13610,14336,14454,14617,14723,14947,15051,15250,15357,15511,15694,15855,15983,16092,16169,16287,16476,16604,16714,16816,16902,17008,17086,17205
2787.1,3200.4,3361,3470,3603.2,3723.7,3851.3,4045.4,4185.7,4377.1,4504.7,4646.6,4762.7,4860.8,4930.8,5071.4,5231.8,5352.1,5455.6,5546.1,5635.9,5745,5818.5,5953.2,6252.4,6414.6,6546.9,6696.4,6826.1,6946.7,7085.2,7242.5,7384.4,7589.7,7723.2,7896.8,8019.4,8124,8194.8,8332,8493.5,8614.4,8715.9,8810.6,8897,9008.7,9081.9,9222.3,9406.6,9537,9641.6,9734.4,9824.9,9936.7,10007,10147,10686,10830,10967,11083,11212,11439,11568,11746,11874,11976,12066,12152,12269,12338,12478,12681,12805,12909,12976,13120,13389,13549,13673,14371,14510,14656,14789,14988,15125,15297,15432,15642,15772,15928,16056,16156,16230,16365,16549,16676,16776,16872,16961,17073,17144,17281
