i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,b,r
1150.5,1347.2,1454.6,1681.3,1786.8,1938.4,2118.5,2301.5,2420.8,2526.4,2600.5,2714.9,2917.8,3033,3140.2,3240.5,3326.3,3431.2,3504.4,3624.5,3987.9,4141.1,4245.5,4392.8,4580.8,4762.3,4879.8,4989.6,5088.5,5174,5278.7,5351.7,5473.9,5892.4,6071.5,6178,6345,6445.2,6521.2,6638.6,6827.7,6946.2,7056.2,7156.1,7240,7346.9,7422.3,7541.4,7989.6,8153.3,8255.4,8553.2,8665.3,8886.8,8988.3,9138.6,9324.4,9496.3,9619.2,9727.5,9802.4,9921.7
1203,1390.4,1525.1,1720.8,1854.5,2066.1,2195.3,2369.2,2492.8,2588.5,2658.2,2790.6,2989.3,3104.8,3205.8,3298.6,3385.2,3492.4,3561.3,3702,4037.8,4186.4,4319.7,4533,4660.1,4836.4,4952.6,5054.6,5145.9,5227.8,5341.7,5411.2,5554.8,5945.2,6114.9,6247.5,6405.2,6508.9,6578.1,6720,6900.3,7020.2,7120.1,7212.7,7300.6,7409.7,7484.5,7618.3,8039.1,8192.6,8326.9,8596.9,8733,8929.3,9058.4,9271.4,9404.1,9571.4,9690.3,9793.5,9864.7,10004
