l,l,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1358,1491,1627.6,1773.7,1975.6,2092.8,2341.1,2477.3,2629.8,2739.3,2895.2,2996.1,3074.6,3187.3,3354,3471.6,3579.9,3657.1,3773.5,3982.9,4105.5,4214.7,4315.9,4403.1,4510.1,4588.8,4706.1,5059.6,5220.3,5325.1,5480.2,5582.2,5658.1,5778.4,5967.7,6087.9,6197,6299.3,6387.1,6493.5,6569.7,6692,6911.9,7020.1,7226.2,7330.7,7529.5,7677.9,7828.2,7952.6,8064.5,8143.3,8259.2,8445.6,8565.4,8677.8,8778.6,8867.9,8974,9055.8,9174.6,9468.7,9605.9,9707.9,9866.7,10050,10212,10337,10448,10553,10639,10746,10823,10948
1395.1,1533.5,1665.9,1824.8,2013.3,2147.9,2380.2,2525.3,2663.3,2770.2,2951.4,3055.6,3123.2,3263.8,3426,3542.8,3642.7,3714.4,3852.2,4055.7,4177.6,4277,4373.8,4456.1,4570.1,4646.6,4784.3,5116.2,5262.4,5388.4,5538.4,5644.6,5712,5857,6038.7,6160.1,6260.9,6356.6,6441.1,6555.2,6628.1,6769.4,6951.8,7082.6,7265.2,7394.8,7620,7754.9,7900.5,8024.3,8126.4,8191.7,8334.5,8516.7,8639.7,8739.1,8836.3,8927.6,9039.3,9109.8,9250.3,9524.3,9647.1,9775.9,9992.9,10126,10287,10409,10513,10611,10697,10813,10879,11025
