l,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1721.1,1988.3,2176.5,2370.6,2512.6,2718.7,2853,3024.8,3137.2,3288.8,3472.6,3660.3,3780.4,3891.2,3968.1,4089.1,4299.6,4428.7,4543.1,4645.1,4730.8,4838.5,4915.7,5035.5,5376.8,5921.4,6038.3,6180.1,6291.9,6439.1,6643,6826.9,6962.4,7073.9,7152.5,7269.3,7454.8,7596.8,7706.8,7808.8,7895,8003.7,8079.6,8201.8,8534.3,8701.2,8808.4,9117.9,9227.3,9716.9,9822.8,10002,10111,10300,10488,10662,10779,10893,10996,11080,11185,11263,11383,11543,11667,11782,11887,11974,12083,12160,12281,13031,13152,13332,13451,13678,13786,14157,14274,14498,14606,14804,14909,15126,15241,15432,15537,15689,15880,16076,16199,16310,16414,16501,16610,16687,16805
1755.9,2026.8,2223.1,2412.2,2568.3,2756.3,2896.2,3067.6,3197.8,3417.1,3550,3730.2,3847.4,3952.5,4022.8,4164.3,4372.6,4500.6,4608.1,4701.9,4788.1,4902.8,4975.6,5111.6,5429.7,5962.8,6109.4,6226.5,6354.5,6585.5,6720.4,6899.8,7033.8,7138.6,7210,7351.1,7527.6,7668.2,7769.8,7865.5,7955.6,8067.8,8138.5,8280.3,8592,8748.7,8888.1,9160.4,9301.2,9759.1,9883.4,10049,10188,10432,10564,10733,10850,10959,11051,11138,11249,11324,11467,11618,11741,11849,11945,12035,12149,12223,12360,13071,13216,13379,13520,13723,13856,14200,14350,14544,14676,14851,14977,15172,15319,15476,15606,15828,15961,16151,16272,16376,16472,16561,16676,16748,16886
