l,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,l
1729.5,1977.8,2216.3,2420.7,2578.3,2766.4,2939,3134.6,3251.4,3446.4,3547.8,3713.5,3811.5,3883.6,3997.7,4160.4,4276.5,4381.4,4457.4,4572.2,4762.5,4880.4,4985.7,5083.7,5167.6,5270.7,5343.9,5459.6,5667.7,5797.4,5903.9,6003.7,6085.7,6187.6,6259.7,6378.2,6568.1,6688.4,6796.2,6895.5,6980.3,7085.5,7160.6,7275.5,7502.4,7662.6,7762,7914.6,8099.9,8262.1,8379.1,8486.8,8561.6,8678.6,8853.9,8977.2,9085.6,9184.5,9270.1,9374.5,9450.9,9569.8,9772.9,9893.8,10002,10101,10186,10292,10367,10486,10796,10967,11067,11214,11393,11576,11700,11807,11881,11998,12516,12696,12796,13009
1766.2,2012.6,2259.8,2458.2,2623.1,2807.6,2987.3,3174.8,3314,3490,3613.1,3766.5,3870.3,3944.7,4077,4231.5,4344.8,4443.2,4515.9,4650.9,4831.7,4949.2,5045.7,5139.9,5224.1,5328.7,5399.4,5533.8,5738.4,5867.2,5966.2,6059.1,6143.7,6251.8,6317.1,6457.8,6640.6,6758,6860.4,6951.5,7035.7,7144.5,7214.6,7351.9,7556.9,7705.3,7828.1,8048.1,8174.5,8334.2,8449.6,8551.7,8618,8758.9,8927,9050,9150.7,9241.5,9330.7,9443.5,9506.1,9648.8,9847.1,9966.6,10066,10157,10246,10356,10423,10565,10847,11010,11136,11341,11474,11650,11769,11872,11941,12079,12567,12737,12863,13050
