l,l,l,l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r
1984.4,2265,2448.7,2624.5,2812.8,3061.7,3233.7,3457.7,3925.1,4117.9,4269.9,4473.8,4584.2,4852.3,4999.7,5162.8,5264.8,5338.1,5457.3,5633,5751.5,5861.2,5935.8,6055.6,6409.7,6603.1,6730.5,7152.7,7305.4,7416.5,7572.8,7750.9,7909.3,8034.1,8146.2,8250.4,8336.2,8442.9,8516.4,8640.3,9013.2,9170.4,9280,9439.3,9627.4,9822.2,9944.8,10055,10157,10244,10353,10428,10549,10734,10859,10969,11071,11157,11266,11343,11464,11841,12002,12111,12273,12461,12771,12949,13066,13234,13337,13414,13534,13740,13865,13979,14081,14175,14282,14365,14494,14938,15117,15228,15440,15548,15701,15890
2018.9,2305.6,2485.5,2663.2,2855.8,3098.5,3286.5,3494.3,3972.8,4159.9,4319.4,4514.4,4653.8,4895.2,5053.1,5213.6,5322.9,5396.7,5534.5,5705.6,5821,5920.5,5994.7,6131.8,6462.6,6643.9,6791.2,7193.6,7350,7477.8,7695.8,7824.7,7982.7,8104.3,8211.3,8305.4,8389.3,8503,8572.1,8718.5,9068.7,9215.9,9351.4,9573.6,9709.7,9894.9,10018,10120,10215,10304,10414,10488,10629,10809,10934,11036,11128,11219,11331,11401,11538,11897,12048,12186,12403,12543,12828,12992,13140,13293,13402,13474,13615,13814,13940,14055,14135,14258,14350,14416,14574,14992,15160,15303,15487,15616,15835,15970
