l,l,i,l,i,l,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,i,l,i,l,i,l,i,l,i
1978.5,2181.7,2357.4,2565.9,2731.8,2922.2,3192.3,3351,3502.3,3648.8,3825.4,3945.9,4161.9,4291,4691,4822.6,4971.9,5082.9,5151.2,5264.6,5451.4,5578.8,5687.7,5762.8,5880,6165.6,6332.6,6442.8,6662.4,6772.1,6916.1,7105,7296.1,7419.4,7526.5,7600.2,7716.7,7884.2,8002.9,8111.7,8213.2,8297.2,8413.6,8483,8596.8,9596.4,9731.3,9913.9,10040,10242,10351,10568,10693,10836,11020,11194,11310,11419,11520,11604,11708,11783,11905,12182,12354,12460,12733,12862,13073,13186,13345,13538,13709,13830,13937,14016,14137,14329,14444,14557,14632,14749,15047,15215,15322,15846,15966,16159,16300,16513,16644
2018.4,2224.9,2411.7,2611.2,2785.7,2968.9,3231.5,3406.1,3550.5,3701.7,3871.7,4011.2,4209.5,4359.3,4736.1,4880.5,5029.4,5128.6,5195,5346.9,5523.7,5649.5,5755,5824.9,5958.7,6226.1,6380.6,6515.4,6709,6847.1,7051.8,7182.7,7367.8,7493.4,7592.2,7660.4,7798.1,7953.4,8077.3,8178.7,8270.2,8358.3,8460.6,8527.5,8675.6,9636.9,9786.3,9962,10108,10292,10424,10618,10766,10969,11098,11267,11384,11485,11578,11665,11777,11848,11983,12237,12401,12531,12780,12929,13121,13260,13483,13617,13781,13902,14006,14077,14217,14401,14520,14623,14694,14832,15106,15266,15398,15891,16033,16205,16364,16558,16714
