l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1658.2,1846.8,1995.3,2101.2,2243.6,2345.8,2492.3,2686.2,2852,2969.8,3076.9,3150.8,3268.8,3472.1,3606.3,3714.8,3815.2,3899.9,4006.2,4080.6,4175
1698.1,1893.8,2038.1,2172,2289.3,2417.1,2630.1,2763.6,2927.4,3043.8,3143.5,3207.6,3347.9,3549.3,3681.4,3781.7,3874.7,3962.6,4071,4143,4277.4
