l,l,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,a,d,f,a,b,r,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1836.2,1995.7,2187.7,2393.9,2523.5,2629.9,2767.1,2868.3,3006.8,3110.1,3255.1,3434.6,3597.1,3712.4,3821.6,3897.2,4013.7,4148.6,4260.2,4363.9,4448.6,4553.5,4629.2,4750.3,4961.6,5066.2,5225.3,5328.3,5404,5521.8,5700.2,5827.9,5937,6040,6125.7,6230.9,6307.9,6428.5
1878,2062.4,2240.9,2446.9,2570.1,2689.8,2814.6,2933.8,3051,3175.6,3383.1,3514.5,3668.6,3786.1,3888.4,3960.1,4100.9,4222.8,4327.1,4422.3,4509.6,4620.6,4690.3,4831.1,5010.3,5140.2,5283.9,5395.4,5469.3,5603,5777.2,5903.5,6006.8,6098.6,6188,6301.9,6372.7,6507.2
