l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,f,a,b,r,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1987.2,2192.8,2399.5,2534.4,2685.9,2794.5,2952.2,3061.8,3272.5,3381.2,3534.3,3634.4,3709.3,3824.4,3986.9,4105.5,4210.9,4287.7,4402.7,4576.8,4697.7,4804.7,4880.7,4997.2,5364.4,5517.2,5621,5770,5975.7,6159,6275.8,6386.8,6461.3,6578,6892.4,7032.8,7139.4,7294.8,7396.2,7467.2,7588.5,7809.3,7910.9,8058.1,8250.3,8396.5,8514.2,8623.2,8725.4,8810.4,8916.3,8990.5,9110.6,9318.4,9441.5,9550.9,9627.8,9747.8,9902.1,10023,10134,10234,10320,10426,10502,10622,10921,11064,11168,11356,11459,11801,11907,12057,12167,12485,12604,12710,12856,13052,13221,13340,13454,13555,13644,13748,13823,13946,14156,14288,14399,14502,14590,14696,14772,14895
2025.2,2244.1,2444.9,2580.5,2728.4,2860.7,3002.3,3135,3321.2,3456.6,3589.9,3699.5,3768.8,3901.4,4055.3,4177.2,4275.1,4343,4481.7,4651,4770.1,4870.5,4945.3,5077.7,5424,5561.1,5701.3,5925.2,6053.6,6233.3,6346.2,6454,6524.3,6659.9,6958.5,7084.2,7219.1,7354.2,7460.3,7533.8,7668.7,7858.5,7985.6,8198.9,8334.1,8468.9,8587.1,8691,8784.2,8873.4,8987.3,9056.8,9192.5,9391.5,9516,9619.9,9691.1,9830.6,9979.9,10099,10201,10292,10383,10492,10567,10702,10983,11116,11248,11406,11541,11851,11989,12108,12246,12553,12659,12795,13000,13133,13295,13414,13522,13617,13705,13816,13888,14028,14231,14362,14467,14561,14653,14764,14834,14978
