l,l,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1975.2,2322.1,2473.1,2581.7,2757.8,2866.8,3105.8,3214.5,3452.3,3560.8,3711.8,3905.2,4085.3,4202.5,4310.2,4384.7,4502.6,4677.9,4797.3,4908.4,5012.1,5100.2,5206.7,5282.1,5404.2,5688.7,5831,5935.2,6107.8,6288,6467.3,6586.8,6698.7,6774.8,6892.2,7072.3,7200.2,7309.1,7411.5,7498.1,7609.7,7685.9,7806.1,8242.3,8373,8481,8646.1,8747.3,8824.1,8944.2,9148.3,9270.7,9381.2,9481.1,9569.5,9677,9754.1,9877.9,10209,10397,10499,10753,10855,10988,11099,11249,11456,11644,11776,11887,11964,12081,12428,12591,12695,12914,13018,13155,13260,13424,13526,13607,13724,13926,14050,14163,14265,14353,14461,14542,14657
2014,2363.1,2507.5,2640.4,2797.4,2931.2,3148.5,3275.8,3497.2,3630.3,3846.6,3981.2,4158.2,4272.2,4369.8,4442.1,4580,4748.7,4868.8,4974.1,5067.1,5154.7,5267.8,5337,5482.4,5739.9,5871.2,6007.2,6226.2,6363.6,6538.2,6657.2,6765.2,6827.2,6970.5,7145.9,7271.5,7375.2,7470.6,7554.8,7672.3,7743.4,7882.4,8301.2,8419.9,8552.1,8702.9,8812.5,8883.7,9020.8,9221.2,9344.8,9446.6,9540,9630.8,9742.5,9811.7,9955.7,10264,10439,10573,10796,10918,11031,11170,11394,11533,11718,11849,11952,12015,12159,12484,12634,12766,12959,13084,13199,13327,13476,13591,13661,13803,13999,14123,14227,14323,14413,14526,14600,14736
