l,l,l,l,l,l,i,l,i,l,i,l,i,l,i,l,i,n,n,a,b,r,n,n,a,d,f,a,b,r
1191.2,1369.8,1599.8,1994.6,2341,2497.2,3068.5,3255.5,3430.7,3611.8,3737.8,3923.6,4052,4271.3,4402.3,4594.1,4725.2,4948.7,5067.8,5175.4,5254.7,5364.8,5527,5649.8,5757.8,5857.5,5941.8,6046.8,6124.1,6239.2
1230.6,1413.4,1638.1,2030.5,2377.2,2535,3121.8,3301.8,3486.4,3661.4,3799.7,3970.7,4124,4321.5,4471.5,4641.4,4797.5,5015.7,5138.9,5244,5311.7,5443.3,5598.7,5721.4,5825.3,5916.1,6004.8,6112.6,6180.8,6319.5
