l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1991,2129,2282,2390,2570.4,2696.7,2834.8,2936.1,3090,3280.2,3453.1,3572.6,3678,3752.3,3868.5,4316.7,4483.3,4590.4,4749.8,4849.4,5025.5,5210.5,5398.2,5520.1,5628.2,5730.3,5817.6,5921.5,5997.8,6118.5,6354.3,6493.3,6603.6,6705,6793.6,6900.6,6980,7096.7
2027.1,2184.2,2325.1,2453,2610.8,2751.9,2876.6,3012.2,3224.6,3356.8,3525.5,3641.5,3741,3813,3948.1,4377.2,4523.1,4662.4,4797,4928.7,5157.3,5288.2,5472.2,5591.1,5694.4,5786.5,5871.1,5985.9,6060.5,6196.9,6426.7,6563.6,6668,6764.4,6852.5,6963.4,7028.5,7172.1
