l,i,l,i,l,l,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1653.7,1822.9,1980.5,2143.2,2371.9,2495.2,2607.3,2751.4,2986.5,3094,3291.7,3406.4,3563.8,3663.6,3737.8,3854.8,4034.3,4157.6,4266.2,4366.1,4450.7,4556.3,4632.6,4749.6,4933.4,5053.5,5163.4,5261.8,5348.8,5454.4,5530.2,5648.8,6019,6193.2,6299.6,6445.7,6641.2,6834.9,6957.6,7068.3,7167.8,7253.3,7357.2,7433.8,7549.8,7761.8,7883.8,7993.3,8072.7,8187.8,8491,8647.5,8749.2,8915.2,9016.8,9091.1,9209.5,9402.8,9526.2,9634.3,9735.9,9822.4,9926.6,10001,10120,10314,10435,10547,10647,10734,10840,10915,11040
1688.5,1864.5,2018.8,2193.9,2408.1,2532.5,2649.6,2808.8,3027.5,3155.9,3335.2,3473.3,3619,3723.4,3798.5,3933.8,4107.7,4230.4,4328.4,4421.1,4505.7,4620.6,4686.9,4824.6,5005.2,5123.7,5224.8,5317.2,5405,5519.6,5583.3,5727.6,6076.4,6237.1,6363.7,6585.4,6720.8,6909.2,7029.5,7132.9,7223.3,7312.1,7419.1,7490.6,7628.8,7833.5,7955.3,8057.2,8132.4,8266.3,8539.8,8689.5,8817.4,8971.6,9080.2,9155,9287.8,9474.8,9599.8,9701.9,9795.4,9880.7,9992.6,10062,10200,10392,10511,10612,10706,10796,10903,10969,11117
