l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b
1997.2,2139.5,2305.9,2415.7,2609.9,2718.6,2933.6,3036.2,3203.2,3308.8,3384.1,3500.5,3678.3,3798.9,3909,4012.2,4099.5,4205,4281.4,4400,4661.8,4789.7,4895.7,5047.4,5244.3,5451.7,5573.2,5685.9,5763.8,5881.1,6056.5,6181.5,6292.7,6394.4,6482.7,6589.7,6666.1
2033.8,2196.2,2351.6,2486.5,2653.7,2786.1,2975.6,3109.2,3257.9,3369.9,3442.2,3577.9,3750.8,3872.5,3972.7,4068,4158.7,4268.3,4339.3,4476.9,4715.5,4835.2,4968.5,5187.2,5318.8,5523.7,5657.3,5753.2,5818.5,5961.5,6129.2,6253.7,6359.7,6453.5,6544.2,6658.6,6725.4
