l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1991.8,2137.9,2321.6,2426.4,2611.3,2712.9,2900.9,3009,3170.6,3273.5,3347.4,3462.8,3658.5,3773.7,3884.3,3983,4068.1,4172,4248,4368.8
2027.2,2187.3,2365.2,2491.9,2654.2,2786.9,2942.8,3074.2,3229,3333.5,3403.8,3543.5,3730,3845.3,3945.9,4040,4123.8,4237.7,4304.1,4447.9
