l,l,l,l,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l
2824.4,3000,3408.8,4236.5,4621,4750.5,4933.9,5046.1,5270.5,5368.9,5522.2,5630.5,5780,5971.5,6141.5,6261.5,6370.2,6450.8,6566.4,6854.8,7003.1,7109.6,7295.6,7401.6,7546.9,7650.4,7804.3,8000.7,8186.6,8307.1,8416.7,8520.6,8604.8,8710.6,8786.5,8905.6,9273.6,9413.3,9523.5,9685.1,9877.8,10050,10171,10282,10383,10471,10576,10657,10776,10952,11072,11182,11285,11372,11478,11559,11678,12150,12286,12388,12544,12650,12858,12960,13035,13154,13288,13413,13524,13627,13714,13821,13899,14019,14287,14394,14562,14672,14819
2861.4,3040.7,3449.2,4274.7,4656.9,4811.8,4977.6,5104.8,5303.3,5430.6,5565.3,5693.8,5915.8,6049.7,6214,6332.7,6434.8,6496.7,6642.9,6913.2,7048.9,7179.1,7335.4,7470.7,7583.5,7723.9,7943.2,8075.7,8259.8,8380.3,8482.5,8577.4,8664.2,8775.6,8843.5,8987.3,9334.4,9459,9594.5,9819.2,9957.3,10124,10243,10348,10440,10531,10639,10712,10851,11026,11145,11248,11342,11427,11543,11612,11753,12204,12326,12451,12586,12723,12916,13024,13093,13235,13362,13488,13589,13685,13769,13888,13953,14100,14329,14456,14608,14746,14865
