l,l,l,i,l,i,l,i,l,i,l,i,l,l,i,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r
1738.4,1989.7,2141.8,2341,2555.5,2745.2,2933.5,3076,3224.2,3365.3,3574.3,3712.8,3895.6,4008,4126.4,4473,4624.9,4733.6,4883.8,4987.9,5063.9,5180.3,5366.3,5484,5592.7,5696.5,5783.3,5890.2,5966.3,6089.1,6315.7,6448.1,6680.3,6790.5,6968.5,7136.4,7334,7452.2,7561.9,7665,7752.4,7857.3,7933.9,8054.8,8433.2,8615.6,8725.1,8896.9,8999.1,9077.1,9196.7
1771.6,2029.8,2183.2,2393.8,2596.7,2799.7,2977.7,3133.2,3269.4,3421.9,3615.3,3770.6,3937,4051.7,4202.1,4529.4,4669.2,4803.8,4944.1,5052.5,5119.5,5260.7,5439.3,5560.8,5661.9,5756.1,5840.1,5956.2,6027.6,6169.4,6361.2,6520.4,6723.5,6862.4,7085.6,7213.8,7407,7524.6,7629.4,7723.2,7809.3,7923.8,7992.6,8136.1,8495.7,8662.5,8801.4,8956.5,9064.9,9139.6,9277.1
