l,i,l,l,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r
1655,1811.4,1988.6,2125.3,2232.9,2387.3,2564.5,2673.9,2913.2,3019.9,3169.3,3358.1,3532.1,3651.3,3759.5,3835.2,3952,4131.8,4253.3,4366.2,4466.1,4551.3,4656.8,4732.7,4851.4,5104,5251.2,5352.9,5520.4,5706.9,5892.3,6010.8,6120.7,6222.3,6308.1,6414.1,6489.3,6608.7,6813,6916.9,7110.5,7212.1,7288,7406.4,7581.7,7701.9,7814.9,7917.5,8002.5,8107.8,8183.2,8302.2,8560.6,8714.4,8818.5,9009.8,9180.6,9358.2,9478.2,9588.2,9667.2,9785.4,9993.7,10096,10259,10440,10605,10728,10838,10941,11029,11134,11212,11332,11622,11782,11888,12069,12168,12324,12509,12688,12808,12919,13003,13124,13536,13692,13796,14034,14140,14305,14492,14687,14803,14916,14996,15116
1693.4,1854.6,2027.4,2167.4,2274.1,2436.8,2605.5,2740.2,2955.4,3080.2,3301.4,3435.7,3607.2,3721.1,3820.7,3896.6,4030.8,4207.3,4326.6,4430.2,4522.1,4610.7,4718.3,4789.8,4927.5,5155.5,5288.7,5417.7,5652.1,5785.3,5964.9,6085.4,6187,6282.1,6369.2,6475.8,6549.6,6685.5,6854.6,6990.3,7164.5,7274.7,7344,7484.5,7654.9,7774.6,7881.8,7973.2,8057.3,8171.3,8239.6,8380.5,8616.1,8759.9,8889.6,9126.4,9260,9432.7,9550.7,9653.6,9728.1,9862.2,10037,10164,10390,10520,10680,10800,10903,10996,11083,11197,11270,11410,11673,11827,11961,12112,12240,12457,12588,12764,12880,12984,13064,13204,13588,13736,13872,14078,14210,14436,14570,14761,14880,14982,15056,15193
