l,i,l,l,i,l,i,l,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1614.5,1813.8,1978.7,2137.5,2261.8,2489.4,2632.8,2808.8,3176.3,3308.5,3444.1,3544.2,3620.8,3736.8,3900.2,4023.4,4132.8,4235,4322.2,4428.7,4505.3,4626.4,4945.4,5100.4,5206.9,5384.3,5553.6,5725.9,5843.6,5953,6057,6142.8,6249,6325.7,6445.4,6626.1,6749.2,6859.1,6963.2,7051,7157.6,7235.7,7352.9,7637,7778.1,7885.6,8047.7,8235.1,8385.2,8503.8,8613.8,8718.3,8806.9,8915.7,8989.8,9112.8,9691.4,9842.8,9951.6,10176,10278,10481,10585,10744,10925,11132,11254,11364,11468,11555,11663,11742,11861,12235,12395,12501,12669,12862,13052,13171,13281,13384,13473,13581,13658,13782
1647.2,1859.4,2019.8,2178.9,2315.3,2530.1,2685.7,2852.2,3214.1,3346.3,3496.9,3605.7,3676.8,3815.1,3972.4,4093,4195.3,4293.3,4379.7,4491.4,4565.8,4701.3,4995.6,5144.4,5274.4,5492.3,5627.8,5795.2,5914.5,6017.6,6113.2,6197.9,6312.3,6378.3,6525.6,6699.6,6819.9,6924,7020,7106.2,7221.9,7291.2,7426.8,7685.4,7823.6,7957.1,8177.9,8313.2,8461.3,8577.9,8682.7,8775.6,8864.2,8980.2,9050.2,9191.7,9743,9886.4,10022,10218,10346,10524,10655,10868,11005,11204,11329,11431,11525,11611,11728,11794,11940,12291,12439,12576,12807,12942,13125,13243,13348,13444,13530,13646,13714,13863
