l,l,l,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1985.6,2189,2324.2,2466.5,2627.8,2832.9,2992.6,3169.6,3291.7,3505.8,3614.8,3795.1,3988.2,4167.1,4288.6,4393.8,4469.4,4584.7,4759.4,4887.8,4996.3,5073.5,5188.9,5545.6,5731.4,5837.1,5984.6,6170.6,6350.2,6468,6578.3,6653.1,6770.9,6938.4,7058,7169.1,7267.5,7353.5,7459.2,7535,7652.8,7945.7,8078.6,8184.9,8389.5,8493.6,8640.6,8829.7,8991.2,9111.9,9222.1,9323.4,9407.7,9512.9,9592.2,9707.5,9951.3,10120,10222,10389,10571,10733,10855,10964,11065,11151,11258,11333,11453,11732,11894,11997,12204,12304,12457,12649,12796,12915,13026,13108,13224,13490,13653,13798,13923,14022,14100,14218,14400,14516,14627,14727,14812,14919,14997,15114,15296,15418,15528,15632,15720,15827,15900,16022
2021.5,2229.1,2363.2,2503.6,2674.8,2873.3,3038.8,3209.4,3345.2,3547.3,3684.6,3927.4,4062.1,4239.9,4358.5,4458.2,4527.1,4661.2,4834.2,4957,5061.1,5132.2,5264.6,5594.2,5772.8,5907.2,6117.2,6246.8,6424.2,6537.2,6639.2,6710,6848,7011.8,7129.7,7232.8,7323,7407.5,7522.1,7596.5,7729,8003.7,8125,8253.3,8435.9,8564.7,8775.6,8908.7,9066.8,9185.1,9287.5,9378.2,9466.8,9576.2,9643.2,9785.9,10006,10163,10295,10521,10649,10810,10928,11030,11122,11206,11322,11390,11532,11788,11937,12069,12250,12377,12594,12728,12874,12987,13090,13163,13303,13542,13697,13831,13980,14088,14158,14297,14475,14592,14691,14785,14872,14983,15057,15194,15371,15495,15596,15692,15777,15892,15964,16098
