l,i,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1998.1,2183,2393.9,2549.3,2874.8,3049.2,3241.4,3366.1,3617.2,3754.1,3938.9,4050.1,4259.8,4369.6,4511.8,4693.6,4875.2,4994.7,5100.9,5201,5306.1,5966.8,6112.1,6321.9,6451.8,6605.1,6714.9,6783.5,6893.4,7094.7,7212.6,7323.2,7422.4,7507.2,7621.8,7690.9,7804.3
2035,2230.9,2433.7,2602.3,2915.5,3106.6,3288.7,3432.7,3664.2,3811.4,3985.2,4126.4,4308.3,4454.5,4642.9,4773.4,4948,5067,5168.3,5250.8,5382.2,6010.7,6173.8,6370.3,6524.5,6665.9,6763.2,6830.2,6977.7,7165.5,7285.9,7389.4,7480.8,7569.8,7671,7736.5,7881.8
