l,l,l,l,l,i,l,i,i,l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,l,i,l,i,l,w,r,i,l,i,l,i,l,i,n,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,l,i,i
2202.9,2416.8,2594.4,2761,4700.6,4827.1,5008.3,5121.1,5661.5,5833.2,5944.4,6080.3,6192.9,6397.9,6502,6749.5,6876.8,7132.9,7239.4,7426.3,7527,7697.4,7803.1,7877.2,7994.6,8136.1,8259.1,8368,8445.9,8562.1,8775.2,8881.8,9071.5,9198.2,9339.1,9596,9780.9,10049,10195,10294,10535,10645,10813,10890,11105,11258,11408,11528,11635,11715,11832,12036,12164,12274,12379,12469,12575,12654,12773,12925,13050,13160,13265,13355,13462,13538,13661,13883,14190,14289,14642
2255.7,2459.2,2635,2797.4,4740.8,4878.7,5052.5,5187.3,5711.4,5880,6022,6130,6265.9,6445.7,6579.9,6794.6,6946.5,7177.4,7315.7,7469.5,7599.2,7755,7865.2,7933,8073.3,8212.9,8331.4,8433.3,8502.8,8642.8,8820.3,8945.8,9113.7,9240.2,9378.1,9725.3,9863.2,10108,10232,10360,10573,10723,10845,10972,11194,11327,11479,11599,11700,11763,11911,12106,12237,12340,12436,12522,12635,12702,12851,12998,13119,13225,13319,13406,13523,13594,13735,13922,14226,14353,14717
