l,l,l,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1996.5,2195.9,2335,2699.9,2885.2,3096.2,3228.3,3429.2,3572.7,3759.4,3879.8,4091.6,4212.1,4417.1,4532.9,4702,4864.2,5016.5,5133.4,5241.7,5319.4,5431.8,5569.2,5693.4,5801.8,5881,5995.7,6204.2,6324.1,6433.5,6510.2,6627.2,6834.2,6963.2,7072.7,7172,7257.9,7362.3,7437.6,7556.3,7832.9,8005.9,8111.7,8275.7,8383.8,8534.5,8717.6,8883.9,9001.6,9109,9184,9300.3,9488,9615.3,9723.8,9822.7,9907.4,10012,10090,10208,10482,10648,10751,10956,11059,11223,11403,11573,11695,11800,11878,11993,12257,12419,12521,12769,12926,13054,13161,13350,13452,13614,13786,13962,14077,14187,14263,14379,14584,14708,14819,14917,15004,15110,15185,15306,15589,15740,15842,16043,16149,16340,16443,16519,16638,16782,16904,17017,17117,17205,17311,17388,17508
2034.9,2230.1,2368.4,2734.6,2930.6,3133.2,3278.7,3469.2,3621.3,3800,3938.7,4132.1,4273,4458.5,4596.1,4808.9,4939.8,5089.3,5205.2,5302.3,5369.4,5508,5644,5760.1,5865.3,5933.5,6070.8,6277.6,6398,6497.2,6570.2,6707.4,6909.7,7032.8,7136.2,7229.8,7311.3,7424.3,7494.8,7633.5,7881.2,8050.5,8177.7,8320.3,8454.5,8663.9,8794,8958.6,9071,9172.1,9241,9378.7,9561.5,9685.9,9787.1,9878.8,9966.2,10076,10145,10285,10536,10692,10812,10999,11127,11350,11481,11649,11767,11867,11933,12073,12317,12461,12588,12808,12980,13099,13225,13391,13518,13731,13863,14036,14153,14251,14316,14457,14659,14780,14882,14976,15058,15174,15243,15386,15644,15784,15908,16086,16218,16397,16506,16574,16715,16859,16978,17080,17175,17258,17376,17441,17586
