l,l,i,l,l,i,l,i,l,l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1219,1990,2244.4,2495,2662.1,2901.7,3096.9,3240.4,3422.5,3952.9,4101.6,4292.3,4468.9,4640.1,4771.3,4993.1,5222,5422,5532.9,5759.6,5862.4,6073.9,6177.6,6251.6,6368.2,6545.6,6664.8,6774.9,6875.8,6961.8,7067.2,7142.6,7260.9,7501.6,7608.5,7758.2,7953.2,8166.6,8285.8,8395.8,8498.8,8584.1,8693.7,8769.9,8887.4,9078.9,9195.9,9307.7,9410.9,9498.7,9605.5,9681.9,9801.7,10078,10223,10330,10483,10670,10856,10974,11087,11171,11287,11592,11778,11891,12063,12166,12242,12361,12646,12817,12923,13090,13195,13272,13395,13608,13731,13844,13946,14031,14138,14215,14337,14732,14928,15042,15197,15390,15632,15758,15869,15972,16058,16168,16245,16366
1256.7,2021.9,2287.2,2533.7,2702.3,2953,3138.7,3289.2,3463.3,3991.8,4154.2,4332.9,4521.3,4685,4835.2,5034.8,5279.7,5465.8,5597,5804.1,5935.2,6134.4,6238.6,6311,6445.2,6618,6736.9,6840.3,6932.9,7020.7,7130,7202.7,7340.5,7541.1,7673.4,7897.1,8032.3,8237.1,8357.2,8461.1,8556.2,8638.7,8757.3,8826.7,8966.2,9150,9272.7,9374,9468.4,9559.6,9670.4,9741.1,9882.2,10130,10268,10399,10618,10750,10930,11049,11154,11229,11366,11644,11823,11959,12117,12231,12302,12443,12704,12863,12995,13143,13261,13335,13477,13680,13807,13910,14003,14092,14204,14273,14419,14781,14973,15111,15333,15471,15706,15831,15935,16031,16118,16233,16307,16448
