l,i,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,b,r,n,n,n,a,d,f,a,b,l,l,l,i,l,i
1992.9,2139.2,2290.7,2421.7,2599.2,2728.6,2905.5,3008.7,3204,3313.1,3461.4,3576.8,3770.5,3876.7,4023.4,4208.2,4362.2,4482.3,4589.3,4662.4,4780.1,4962.3,5078.7,5187.5,5284.9,5369.2,5478.3,5553,5670.8,5999.8,6196.6,6303.7,6451.6,6632.1,6787.9,6915.9,7026.4,7126.6,7213.1,7317,7392.3,7512.3,7742.2,7861.5,7973.7,8048.8,8166.2,8372.4,8535.3,8649.1,8758.8,8860.4,8944.8,9051.2,9128.1,9312.1,9475.8,9616.8,9807.2,9993.7,10114
2033.4,2191.3,2332.6,2472.9,2637,2786,2946.5,3067.6,3245.7,3380.2,3506.2,3638.2,3814.1,3946.4,4157.4,4285.4,4435.2,4554,4651.5,4719.5,4859.2,5035.2,5153.6,5246.3,5341.3,5427.2,5540.8,5612.1,5745.9,6049.6,6237.1,6376.3,6578.2,6706,6859.8,6989.3,7090.9,7182.8,7267,7380.4,7453.9,7590,7813.2,7934.3,8038.5,8109.1,8246.2,8445.2,8604.2,8719.9,8823.7,8917.4,8997.8,9114.4,9186,9359.1,9521.9,9659.9,9864.6,10036,10178
