l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1995.8,2152.2,2323.8,2450.5,2605.7,2752,2957.3,3100.6,3258.9,3365.7,3546.4,3648.9,3803,3991.7,4169.4,4290.2,4396.2,4470.2,4585.5,4771.3,4888.8,5002.2,5100.9,5185.7,5290.5,5365.4,5485.5,5961.3,6130.3,6243.8,6390.8,6590.9,6761.7,6881.8,6991.5,7067.1,7182.9,7728.3,7867.3,7970.5,8131.8,8237.7,8392.7,8578.9,8730.3,8844.5,8954.3,9053.5,9138.4,9241.3,9317.9,9437,9622.4,9747.1,9858.9,9933.8,10050,10259,10382,10493,10594,10678,10784,10860,10984
2030.3,2197.2,2363.8,2504.6,2646.6,2807.3,2995.5,3160.2,3300.7,3435.8,3588.9,3714.5,3938.3,4066.7,4245.9,4360.6,4460.1,4527.5,4662.4,4843.4,4965.6,5066.5,5157.7,5245.1,5353.8,5424.4,5561.9,6014.2,6172.7,6311.9,6534.8,6668.4,6834.8,6958.2,7056.2,7121.8,7261.4,7781.5,7911.5,8044.1,8173.8,8303.7,8522.8,8653.7,8804.5,8921.7,9018.6,9110.7,9192.6,9304,9376.9,9517.5,9700.4,9824,9924.1,9991.6,10128,10334,10459,10556,10647,10736,10846,10917,11059
