l,l,i,l,i,l,i,l,i,l,i,l,l,i,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1975.2,2111.5,2433.2,2662,2804.7,2993.8,3103.8,3290.7,3419.3,3594.9,3748.6,3902.4,4026.9,4134.2,4318.8,4422.8,4498.5,4612.8,4803.2,4918.5,5025,5100.8,5218.1,5468.5,5617.8,5723.9,5875.9,6057,6226,6343,6451.8,6551.8,6635.7,6742,6817.6,6933.9,7119.9,7240.6,7350.6,7451.4,7536.7,7642.1,7719.6,7837.3,8044.2,8152.3,8304.6,8491.2,8660.8,8779.6,8890.9,8991.7,9077,9182.9,9259.7,9379.4,9554.6,9674.4,9786.4,9888.6,9974.5,10081,10158,10277,10536,10685,10790,10945,11126,11301,11422,11533,11634,11721,11827,11905,12024,12208,12325,12438,12541,12627,12734,12811,12931,13124,13247,13360,13462,13550,13656,13733,13854,14200,14348,14453,14609,14793,14983,15102,15213,15298,15414,15626,15763,15877,15980,16065,16171,16249,16373,16836,16947,17117,17221,17366,17470,17635,17739,17817,17935,18135,18262,18372,18475,18563,18671,18750,18870
2015.3,2152.5,2466.8,2700.2,2855.2,3027.5,3163.5,3327.1,3466.8,3632.3,3797.8,3941.4,4061.8,4193.2,4372.6,4480.6,4554.6,4687.7,4875.1,4987.8,5084.9,5157.4,5293.8,5520.3,5659.9,5784.5,5999.4,6133.1,6295.2,6415.6,6515.1,6608.4,6690,6804.8,6876.3,7011.7,7190.1,7311.8,7412.8,7508.3,7591,7702.5,7775.1,7910.1,8085.3,8213.3,8436.3,8569.7,8736.6,8854,8954.8,9048.8,9134,9243.3,9322.6,9457.2,9627.3,9747.8,9848.8,9945.3,10031,10145,10215,10355,10585,10729,10854,11076,11207,11377,11498,11599,11690,11778,11892,11963,12105,12281,12400,12504,12599,12684,12799,12875,13010,13198,13322,13425,13519,13605,13721,13791,13934,14251,14396,14520,14740,14869,15057,15180,15281,15352,15494,15700,15837,15942,16038,16124,16236,16307,16451,16876,17008,17160,17285,17409,17540,17694,17803,17871,18013,18209,18336,18439,18535,18619,18737,18806,18949
