l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1611.1,1801.8,1981.8,2097.9,2265.6,2402.3,2536.1,2653.4,2836.4,2939.1,3089.2,3275.3,3477.7,3594.3,3705.7,3782,3897.7,4064.4,4190.8,4297.9,4396.7,4481.3,4586.7,4661.1,4780.8,5232.7,5336.1,5480.9,5590.6,5749.3,5921,6095.7,6215.2,6325.4,6427.1,6513.5,6617.1,6692.5,6812
1642.1,1846.2,2018.9,2154.3,2303.5,2454.6,2574.2,2718,2875.2,3005.4,3222.4,3350.3,3550.3,3668,3768.2,3841.1,3975.1,4136.4,4257.5,4361.6,4452.9,4536.6,4649.9,4723.3,4857.4,5271.4,5405.6,5522.8,5662.8,5870.4,5997.1,6169.5,6286.6,6390.2,6483.3,6567.7,6680.2,6753.8,6889.5
