l,l,l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1814.1,1982.7,2240.8,2424.6,2642.6,2809.8,3002.2,3136.6,3392.4,3536.9,3752.5,3873.5,4069.3,4194.7,4363.6,4463.7,4537.2,4652.2,4824,4942.3,5051.8,5150.7,5235.3,5340.3,5414.6,5531.8,6479.3,6617.7,6809.5,6922.1,7181.7,7311.1,7467.1,7567.8,7642.5,7759.7,7921.8,8040.9,8152.4,8249.1,8333.8,8439.5,8513.6,8631
1849.4,2023.3,2275.4,2462.9,2679,2858.2,3039.6,3184.8,3431.8,3581.7,3790.2,3934.7,4107.6,4254.9,4412.3,4525.6,4593.2,4728.1,4894.5,5012.3,5113.3,5206.7,5288.8,5403.5,5471.2,5608.6,6515.6,6667.2,6852.1,6988,7222.2,7375.2,7526.5,7631.7,7698.7,7838.2,7992.8,8111.8,8216.2,8304.9,8394.7,8500.7,8571.3,8708.5
