l,i,l,i,f,a,b,r,i,l,i,w,r,n,n,a,b,r
1361.9,1520.9,1681.8,1791,1964.3,2065.2,2138.9,2257,2710.3,2867.7,2980.2,3118.7,3304.5,3480.7,3595.1,3702.4,3776.9,3890.9
1393.8,1566,1720.5,1857.4,2020.6,2121.3,2191.3,2327,2752.2,2909.6,3040.9,3251.9,3383.4,3551.4,3666.9,3763.9,3834.8,3969
