l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i
1523.6,1683.1,1886.3,1993.4,2139.9,2250.4,2418.7,2521.3,2597.8,2721.3,2959.5,3083.2,3197.4,3303.1,3388.6,3497.6,3575.9,3699.9,4115.2,4223.5,4439.4,4554.5,5321.2,5461.4
1558.3,1731.8,1927.7,2055.8,2183,2315.6,2474.6,2581.8,2660.9,2799.2,3032.4,3160.2,3265.1,3358.4,3444.8,3556.1,3635.8,3777.2,4155.5,4292.5,4482.6,4618.3,5357.2,5509.2
