l,i,l,l,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
2872.3,3104.6,3354.2,3489,3630.1,3791.1,3996.8,4142,4354.7,4508.7,4669.8,4852.4,5021.1,5120.4,5196.3,5313.6,5489.8,5608.8,5719.6,5821.6,5907.4,6013.3,6089.9,6209.9,6544.3,6715.6,6819.6,6983.9,7171.5,7342,7460.8,7569.7,7648.1,7766,8083.3,8234.1,8338.5,8486.7,8670.3,8856.9,8972.1,9081.5,9157.8,9275,9456.1,9574.6,9688,9791.4,9877.4,9985.1,10060,10180,10402,10507,10653,10846,11017,11138,11250,11326,11443,11651,11770,11884,11985,12071,12178,12254,12373,12567,12689,12800,12876,12998,13421,13581,13683,13895,14000,14176,14280,14436,14626,14819,14937,15050,15129,15248,15708,15850,15956,16158,16264,16425,16609,16791,16911,17022,17124,17211,17317,17395,17517
2908.9,3146.2,3398.1,3533.9,3671.7,3844.7,4040.2,4202.3,4397.2,4570.4,4715.3,4911.6,5078.8,5182.7,5257.6,5391.1,5562.8,5682.8,5784,5879.8,5965.8,6077.7,6146.8,6288.3,6607,6756.8,6888.7,7117.3,7249.9,7414.5,7532.9,7635.5,7704.6,7843.8,8141.2,8279,8404.3,8617.6,8749.1,8929.2,9046.3,9143.9,9218.9,9355.2,9530,9649.3,9755.2,9848.7,9932.6,10049,10118,10259,10447,10586,10790,10925,11091,11213,11316,11383,11523,11727,11845,11949,12043,12132,12242,12313,12454,12641,12765,12867,12936,13078,13480,13626,13754,13938,14073,14220,14353,14571,14703,14894,15012,15117,15190,15328,15764,15897,16029,16203,16330,16552,16689,16866,16986,17088,17183,17271,17384,17459,17597
