l,l,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1694.3,1848.2,1981.6,2292.3,2458.4,2570.2,2843.8,2956.6,3162,3297.8,3508.5,3615.7,3764.8,3952.6,4122.5,4239.3,4348.4,4427.3,4540.2,4756.5,4878.5,4992,5091.3,5178.3,5285.1,5360.7,5480.8,5826.1,5992.1,6099.1,6253.9,6358.5,6433.1,6549.2,6742.1,6864.7,6973.4,7077.4,7162.2,7268.8,7343.8,7464.1,7824.7,7971,8077.9,8234.8,8421.4,8597.7,8719.1,8827.6,8902.9,9020.8,9594.1,9697.9,9858.9,9961.3,10122,10223,10301,10418,10606,10720,10830,10931,11017,11125,11201,11320
1731.7,1885.1,2017.5,2336.2,2494,2632.5,2885.1,3019.6,3202.9,3348.8,3549.7,3676.6,3895.1,4028.4,4194,4310.2,4414.7,4485,4618.5,4827.8,4953.6,5055.1,5150.3,5237.4,5347.7,5415.8,5558.4,5884.3,6034.6,6170.4,6313.3,6423.8,6490,6627.3,6816.8,6939,7038.4,7132.4,7222.7,7330.5,7400.4,7540.8,7877.6,8015.6,8153.7,8366.4,8500.3,8674.4,8791.7,8893.8,8965.2,9101.1,9635.8,9773,9905.8,10036,10181,10287,10357,10498,10679,10793,10897,10989,11079,11190,11261,11402
