l,l,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
2244,2375.8,2497.5,2642.8,2870.7,3014.7,3161.1,3288.3,3428.2,3525.1,3598.7,3714.2,3874.8,3989.5,4096,4193.1,4277.4,4378.8,4456.2,4567.4,4726.1,4840.7,4949.1,5047.8,5131.1,5233.7,5307.1,5423.1,5852.1,6002.6,6103.9,6244.6,6436.8,6570,6688.5,6796.2,6873,6985.9,7233.8,7389.3,7494.2,7639.5,7824.9,8007,8123.1,8230,8303,8418.8,8592.6,8713.8,8821.5,8898.8,9012.2,9211.9,9328.2,9439.5,9539.3,9621.4,9725.6,9800.5,9917.2,10326,10495,10595,10748,10847,10923,11039,11235,11351,11461,11559,11643,11748,11823,11944
2277.9,2414.3,2531.2,2687.1,2906.5,3062.5,3198.9,3323.7,3481.6,3583.1,3651.4,3786.9,3942.7,4052.7,4157,4248.5,4330.9,4437.2,4508.3,4641.1,4794.4,4909.5,5010.9,5101.1,5183.9,5293,5368.1,5496.6,5901.7,6042.3,6174.8,6384,6513.3,6640.2,6758.6,6859.1,6926,7058.6,7282.3,7432.1,7558.2,7774.3,7901.3,8075.7,8190.9,8290.3,8358.5,8498.2,8665,8787.2,8886.5,8954,9088.1,9281.4,9400.1,9503.1,9595.6,9676,9787.2,9855.6,9994.5,10377,10538,10661,10805,10908,10981,11117,11305,11422,11525,11616,11703,11811,11885,12024
