l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1282.9,1424.8,1631.5,1782.5,1976.9,2128,2328.4,2456.4,2656.2,2763.9,2900,3088,3266.9,3388.5,3494.6,3573.9,3685.9,3849.9,3975.4,4082,4181,4265.1,4370.8,4447.3,4562.9,4902.7,5066.1,5169.3,5310.7,5501.2,5666.3,5793.5,5902.7,6005.4,6089.5,6196,6273,6393.4,6939.6,7119.4,7228.1,7397.1,7498.5,7575.1,7693.8,8086.8,8268.1,8377.8,8529.1,8718,8885.6,9009.9,9122.1,9224,9309.2,9414.3,9491.2,9609,9810.1,9927.3,10037,10138,10222,10329,10406,10525
1318.1,1470.3,1670,1841.2,2019.9,2181,2367,2519.3,2695.8,2828.8,3030.8,3164.3,3340,3458.6,3554,3623.7,3764.5,3923.9,4044.4,4142.4,4238.7,4321.4,4429.9,4500,4637.1,4954.3,5101.2,5240.6,5449.7,5581.8,5738.5,5865.8,5967.3,6060.2,6149.9,6259.8,6330.2,6470.6,6990.2,7159.7,7289.1,7455.4,7557.1,7631.1,7770.5,8143,8311.7,8454.9,8666.8,8795.9,8959.7,9084.6,9186.5,9279.7,9363.2,9474.5,9546.2,9686.7,9882.2,9998.9,10101,10195,10277,10393,10467,10607
