l,l,l,i,l,i,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1062.6,1563.7,1983.8,2094.7,2310.5,2413.2,2770.9,2976.1,3086.9,3319.6,3423.8,3572.2,3758.4,3936.4,4056.9,4164.6,4241.5,4363.4,4665.9,4798,4897.8,5067,5244.4,5421.1,5539.6,5652.3,5755.7,5841.7,5947.1,6024.3,6143,6709.6,6810.7,6960.8,7061.7,7278.2,7377.8,7530.9,7714.4,7876.4,7997.8,8106,8183.1,8304,8592.7,8711.1,8810.4,8986.7,9087.7,9234.6,9359.3,9492.5,9597.2,9818.9,9921.2,10076,10263,10421,10544,10654,10731,10848,11006,11129,11240,11344,11433,11542,11619,11742,11953,12060,12300,12405,12556,12748,12939,13062,13177,13254,13376,13660,13792,13897,14060,14256,14445,14570,14682,14759,14882,15235,15440,15543,15715,15817,15984,16089,16239,16436,16616,16740,16851,16929,17049,17243,17396,17506,17611,17700,17809,17887,18009
1093.2,1595.8,2021.8,2156.7,2352.8,2473.6,2832.7,3019.7,3151.6,3363.5,3493.1,3703.1,3834.9,4010.2,4127.1,4227.1,4296.6,4437,4700.6,4835.2,4930.3,5178.8,5318.9,5492.6,5612.1,5717,5811,5897.5,6012,6080,6218.2,6749,6878.1,7001.2,7097.8,7320.5,7443.5,7654.9,7789.8,7951,8067.8,8167,8236.4,8379.5,8624.2,8751.7,8843.6,9020.8,9160.5,9277,9397.6,9534.9,9664.5,9859.1,9988,10212,10339,10496,10616,10719,10787,10930,11079,11203,11309,11404,11493,11608,11675,11820,11994,12130,12346,12470,12697,12827,13015,13137,13241,13314,13457,13723,13838,13973,14200,14337,14520,14645,14747,14817,14958,15283,15482,15577,15758,15888,16033,16167,16379,16515,16694,16816,16917,16991,17132,17320,17469,17569,17670,17758,17875,17950,18092
