i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1121,1340.1,1465,1680.6,1800.7,1967.7,2069.9,2145.8,2262.5,2453.9,2572.1,2682.5,2785.1,2872.9,2978.2,3055,3177.1
1169.5,1378.5,1523.8,1721.2,1867.6,2020.3,2130.3,2202.2,2336.9,2525.5,2643.3,2747.2,2840.4,2933,3043,3114.8,3251.9
