l,l,l,l,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1996.4,2129.1,2905.5,3466.4,3616.4,3783.4,3922.2,4029.2,4184.2,4298.3,4471.9,4573,4647.4,4761.3,4923.6,5040.6,5148.8,5248.8,5335.4,5437.8,5511.1,5627.2,5893.2,6029.4,6129.8,6276.6,6468.6,6651.9,6766.1,6873.5,6975,7058.6,7171.3,7241.5,7352.9,7662.2,7830.4,7932.5,8094,8193.4,8339.2,8528.5,8716.8,8860.7,8968.7,9070,9155.2,9261.5,9335,9454.6
2034.4,2170.3,2940.8,3504.1,3654.8,3835.4,3972.7,4102.1,4232.1,4366.7,4532.9,4638.2,4709.3,4842.9,4994.6,5111.5,5215.7,5307.6,5396,5501.4,5575.8,5706.1,5956.2,6079.6,6215.2,6416.7,6549.7,6723.2,6839.7,6940.6,7030.9,7119.6,7220.7,7287.6,7434.7,7726,7882.6,8010.9,8144.6,8273.1,8479.3,8610.6,8792.4,8936,9036.5,9128.6,9218.1,9328.7,9399.6,9533.8
