l,i,l,l,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,l,l,l,l
1985.5,2116.5,2326,2426.6,2548.2,2692.7,2903.1,3054.7,3234.4,3350.6,3546.2,3662.5,3812.4,3987.9,4200,4314.3,4422.1,4493.6,4611.5,5173.4,5792.9,6634.8,7353.5
2018.9,2178.3,2373.8,2475.7,2594.9,2753.9,2949.2,3117.2,3280.4,3426.1,3586.7,3740.9,3939.9,4070,4271,4387.2,4488.4,4560.2,4693.6,5219.8,5839.7,6687.3,7387.6
