l,l,l,i,l,i,l,i,l,i,l,i,w,r,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,l
1981.4,2757.3,3147.6,3720.9,3872.6,3980.4,4136,4247.5,4388.2,4496.3,4718.2,4828.7,4980.6,5172.6,5301.2,5413.2,5489,5604.4,5823.7,5984.7,6087.4,6226.4,6426,6598.6,6722.6,6826.2,6927.7,7013.2,7117.6,7192.2,7311.8,7600.2,7757.7,7862,8012.2,8193.7,8360.5,8480.6,8586.7,8665,8785.1,8976.4,9093.3,9202.6,9306,9391.2,9497.4,9572.3,9695.9,10029,10153,10258,10406,10590,10748,10873,10983,11087,11172,11275,11351,11472,11777,11905,12010,12168,12270,12344,12465,12609,12732,12842,12946,13034,13138,13214,13335,13771,13925,14060,14185,14297,14446,14640,14822,14941,15053,15155,15241,15347,15422,15543,15868,16012,16119,16402,16501,16675,16778,16949,17056,17203,17401,17587,17711,17822,17904,18019,18658
2015.4,2800.7,3190.6,3780.7,3923,4054.2,4184.2,4318.6,4439.1,4570.4,4773.8,4907.1,5124.8,5251.2,5376.1,5478,5551.2,5682.2,5888,6031.4,6165,6374.9,6506.4,6671.8,6791.1,6893.3,6986.6,7074.1,7182.7,7255,7391.7,7665.2,7804,7936.6,8144.2,8276.8,8433.8,8550.2,8655.7,8727,8863.8,9049.4,9170.2,9269.7,9364.1,9451.8,9564.9,9635.5,9775.8,10091,10204,10332,10540,10673,10828,10946,11051,11146,11239,11344,11413,11554,11837,11952,12086,12229,12338,12406,12548,12683,12805,12911,13007,13094,13207,13280,13418,13832,13973,14103,14237,14377,14591,14721,14898,15017,15119,15215,15312,15415,15485,15622,15929,16063,16196,16450,16580,16729,16860,16997,17135,17348,17485,17661,17787,17891,17964,18103,18694
