l,l,l,i,l,i,w,r,n,n,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1063.2,1202.6,1325.7,1481.5,1665.2,1801.6,1932.4,2122,2304.7,2422.3,2529.7,2605.1,2721.3,3114.9,3286.8,3421.7,3565.9,3667,3744,3861.1,4060.9,4176.3,4286.6,4384.5,4470.8,4576.7,4651.8,4770.3,5126,5302.4,5406.8,5554.1,5743.2,5924.1,6046.4,6158.8,6235.2,6352.2,6512.8,6633,6740,6844,6929,7034.2,7109.9,7228.6,7602.8,7770.2,7872.8,8029.7,8217.7,8417.3,8539.2,8649.8,8750.2,8834.8,8941,9016.7,9142.1,9331.2,9454.9,9566.2,9670.7,9757.4,9863.1,9940.2,10060,10420,10615,10720,10899,11002,11079,11198,11409,11527,11636,11737,11824,11931,12009,12133
1100.3,1249.6,1367.6,1535.9,1702.4,1834.3,2066.3,2195.4,2373.9,2489.5,2586.9,2658.2,2795.3,3165.3,3331.9,3472.8,3621.5,3731.8,3799.3,3940,4130,4247,4346.5,4441.1,4530.6,4635.3,4711.3,4844.3,5180.9,5343.5,5481,5691,5822.3,5996.9,6118.5,6219.8,6293,6428.3,6585.4,6702.4,6803,6892.8,6986.5,7099.1,7163,7304,7657.3,7814.2,7944.4,8161.9,8292.6,8488.2,8608.1,8715.2,8805.9,8891.4,9003.1,9077.6,9218.8,9403.1,9527.4,9633.5,9728.1,9813.2,9929.1,9995.6,10135,10469,10659,10792,10952,11067,11136,11279,11483,11601,11702,11796,11887,11997,12070,12210
