l,i,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1021.3,1165.6,1800.3,1976.5,2094.1,2283.3,2392.4,2667.3,2773.5,2921.5,3107,3292,3414,3530.1,3629.6,3717.3,3825.6,3901.2,4022.3,4266.5,4409.8,4523.4,4625.4,4714.5,4824.9,4903.5,5033
1061.2,1220.7,1848.1,2019.5,2168.5,2326.8,2455.5,2710.9,2844.2,3055.4,3186.6,3365.6,3491.5,3595.6,3689.4,3779.1,3886.3,3960.9,4100.3,4338.6,4484.4,4589,4681,4777.2,4889.6,4962.7,5106.9
