l,l,i,l,i,l,i,l,i,l,l,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i
1818.7,1973.8,2252.7,2445.2,2616.2,2766.5,2893.8,3107.2,3352.8,3551.3,3664.6,3757.9,4121.1,4306.5,4425.1,4610.2,4717.2,4888.8,4994.1,5148.8,5329.9,5524.4,5639.1,5749.2,5823.9,5938.6,6239.2,6415.1,6525.3,6692,6867,7016.8,7136.5,7247,7349.2,7434.8,7539.6,7615.8,7736.1,8203.9,8362.7,8466.4,8730.8,8840.4,8986.7,9087.2,9241,9427.9,9592,9712,9822.9,9899.9,10015,10202,10322,10434,10534,10617,10723,10798,10916,11112,11221
1858.4,2016.2,2297.6,2483.4,2666.4,2811.3,2956.2,3148.4,3400.2,3591.8,3711,3800.9,4174.5,4351.6,4488.8,4654.5,4778.5,4933.9,5071.8,5278.3,5408.9,5595.7,5710.7,5811,5884.8,6018,6292.5,6456.7,6587.8,6811.7,6942.3,7091.1,7210,7311.3,7405.2,7494,7603.2,7674.1,7814.2,8261.9,8409,8545.1,8771.8,8908.8,9032.2,9152.9,9365.8,9501.5,9666.3,9784.7,9885.6,9955.2,10096,10277,10395,10498,10592,10679,10782,10859,10996,11154,11289
