l,i,l,l,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1973.8,2106.7,2379.3,2523.3,2645,2805.2,3020.2,3148.2,3329.4,3432.6,3597.3,3784,3939.8,4063.1,4169.6,4274,4360.6,4466.4,4542.3,4663,4871.4,4999.7,5108.6,5212.5,5300.1,5406.2,5483.5,5605.4,5958.8,6124.8,6228.5,6385.8,6574.8,6747.6,6873.6,6984.9,7089.2,7175.2,7282.5,7361.5,7485.2,7806.9,7978.1,8085,8311.2,8413.1,8490.8,8608.9,8982.2,9132.5,9238.3,9392.2,9588.6,9773.1,9892.9,10004,10106,10192,10298,10377,10497,10727,10848,10962,11066,11154,11262,11340,11462,11801,11936,12045,12207,12397,12640,12764,12875,12979,13068,13176,13254,13376
2012.5,2151.1,2418.7,2567.6,2686.5,2862.5,3062.2,3193.1,3373.5,3504.6,3729.7,3863.2,4012.7,4131.9,4233.8,4331.4,4419.6,4531.8,4607.7,4743.7,4944.2,5072.3,5174.9,5270.6,5355.3,5469.7,5539.2,5681.1,6006.8,6167.1,6302.2,6516.7,6652.8,6820.7,6946.9,7050.4,7147,7231.3,7349.1,7418.8,7564.9,7856.9,8020,8155.1,8367.5,8473.7,8546.6,8686.9,9037.7,9177.6,9314.5,9532.7,9665.4,9845.3,9965.2,10070,10164,10248,10365,10436,10577,10800,10922,11027,11126,11214,11328,11399,11544,11852,11983,12116,12339,12476,12713,12838,12943,13040,13129,13241,13315,13456
