l,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,l,i,w,r,n,n,a,d,f,a,b,r,i,l,w,r,n,n,a,d,f,a,b,r,l,l,i,f,a,b,r,l,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,l
1666.6,1982.3,2085.1,2233.3,2330,2408.3,2522.7,2678.8,2798.1,2906.2,3006.8,3093,3198.4,3275.7,3394,3579.9,3698.1,3806.8,3907.2,3996.2,4101.1,4178.4,4295.3,4681.8,4781.6,4949.6,5116,5299.7,5418,5528.1,5632,5715.4,5820,5898.4,6014.4,6292.2,6431.8,6532.8,6701.4,6874.8,7014.9,7131.6,7240.2,7340.6,7426.4,7531,7611.2,7726,7942.4,8275.2,8415.1,8564,8712.9,8898.1,9018,9128.2,9228,9315.9,9421.6,9500.4,9617.5,9924.2,10072,10342,10512,10683,10801,10913,11013,11101,11207,11285,11406,11894,12176,12282,12451,12553,12632,12749,13102,13541,13649,13891,14000,14195,14318,14458,14638,14769,14891,15001,15103,15189,15295,15373,15496,15890,16037,16144,16310,16415,16581,16751,16915,17038,17148,17249,17336,17443,17522,17644,17855,17974,18087,18191,18279,18386,18466,18565
1701.4,2014.6,2117.2,2284.6,2389.3,2461.6,2596.9,2750.5,2868.3,2969.7,3062.8,3146.2,3257.4,3325.9,3464.1,3649.5,3767.9,3869.2,3962.1,4051.8,4158.9,4228.1,4367.1,4717.4,4812.9,5056.2,5188.6,5370.8,5490.8,5590.4,5686.1,5767.3,5879.1,5945.5,6088.5,6336.9,6469,6564.6,6817.6,6946.1,7087.1,7203.1,7303.8,7395.3,7482.2,7593.2,7658.9,7798.9,7977.7,8309.5,8445.6,8657.1,8785.8,8971.2,9090.2,9190.8,9284.3,9368.4,9483.2,9556.4,9692.9,9971.3,10106,10458,10586,10756,10877,10974,11070,11155,11268,11332,11478,11930,12219,12343,12509,12615,12688,12825,13137,13580,13711,13922,14032,14236,14359,14577,14711,14843,14962,15062,15159,15247,15359,15431,15570,15938,16082,16209,16355,16478,16694,16826,16987,17111,17213,17306,17391,17506,17576,17721,17925,18047,18151,18249,18334,18450,18524,18619
