i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1080.4,1270.8,1434.6,1639.8,1754.1,1971.6,2074.2,2231.8,2407.2,2596.8,2715.6,2824.4,2899.8,3014,3184.4,3303.8,3413.6,3488.3,3606.7,3761.7,3881.2,3990.4,4089.5,4175.4,4283.6,4358.2,4474.1,4762.5,4927.8,5032.3,5252.7,5354.7,5502.5,5691.9,5853.9,5978.3,6089.6,6163.2,6279.2,6422.6,6544.3,6655.6,6755.6,6842.4,6951,7025,7145.3,7321.9,7443.6,7553.7,7630.4,7747.3,7947.3,8064.4,8176.9,8276.1,8385.7,8657.7,8833.3,8934.2,9085.6,9274.1,9445.1,9562.9,9677.9,9777.7,9863.1,9968.6,10044,10162,10356,10473,10585,10686,10775,10882,10958,11079,11532,11693,11796,12145,12253,12412,12513,12587,12706,12865,12987,13098,13199,13284,13393,13469,13589,13888,14049,14153,14327,14429,14507,14623,14795,14918,15031,15115,15235,15691,15873,15972,16187,16290,16630,16737,16886,17074,17229,17347,17460,17536,17653,17904,18031,18139,18242,18329,18434,18511,18632
1119.8,1313.3,1479.8,1677.6,1812.5,2008.3,2131.6,2352.2,2481.6,2670.1,2786.6,2884.4,2955.6,3087,3256.8,3377.4,3472.8,3545.2,3684.6,3835.7,3954.4,4054.3,4145.5,4236.5,4342.9,4412.6,4548.2,4814,4971.9,5101.9,5295.1,5417.5,5637.5,5769.9,5929.2,6053.9,6153.5,6221.1,6362.3,6500,6617.7,6719.7,6811.9,6896,7011.8,7082,7222.8,7399.4,7515,7618.8,7687.8,7827.6,8021,8139.2,8241.3,8319.5,8459.9,8714.1,8877.7,9007.7,9221.8,9353.1,9521.2,9637.5,9741.1,9835,9919.1,10030,10100,10244,10430,10550,10652,10744,10830,10940,11015,11154,11578,11738,11867,12181,12316,12462,12577,12646,12787,12939,13059,13163,13256,13346,13457,13526,13669,13945,14095,14223,14387,14494,14565,14704,14869,14991,15097,15169,15312,15740,15919,16044,16232,16357,16672,16806,17021,17154,17302,17422,17524,17592,17732,17978,18101,18204,18298,18384,18501,18570,18710
