i,l,i,l,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1969.8,2142.7,2314.7,2470.8,2591.3,2731,2992.9,3092.2,3165.3,3282.3,3517.2,3644.9,3752,3852.6,3937,4038.8,4116.6,4233,4487.5,4605.6,4713.3,4814.9,4901.7,5006.2,5081.2,5199.1,5556.7,5706.5,5811.7,5998.6,6100,6245.2,6430.7,6592.8,6716.8,6823.8,6928.5,7014.2,7118.2,7193.1,7312.5,7721.2,7876.1,7978.9,8196.5,8297.2,8446.3,8642.1,8900.5,9032,9132.5,9290.1,9389.9,9540.7,9724.8,9905.3,10027,10137,10240,10326,10430,10505,10627,10923,11084,11187,11335,11528,11729,11848,11959,12060,12147,12252,12327,12448,12823,12931,13176,13282,13451,13554,13631,13748,13910,14030,14143,14247,14336,14443,14519,14643
2021,2186.8,2369.1,2513.9,2629,2768.7,3045.6,3154,3225.2,3358.5,3588.2,3714.3,3817.1,3911.2,3996.2,4103.8,4177.6,4311.8,4558,4677.4,4778.9,4873,4961.2,5073,5142.8,5278.7,5614.3,5752.8,5880.5,6042.1,6170.7,6381.5,6511.8,6669,6790.3,6893.1,6988,7074.6,7183.2,7255.6,7391.2,7780.3,7919.4,8048.6,8237.2,8377.7,8588,8720.2,8965.8,9079.4,9204.1,9337.4,9459.7,9673.9,9803.1,9979,10102,10205,10297,10386,10495,10570,10705,10986,11133,11267,11471,11608,11800,11920,12027,12120,12207,12316,12390,12528,12871,13010,13221,13359,13511,13621,13694,13831,13988,14107,14210,14304,14394,14513,14583,14724
