l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1995.8,2119.9,2306.2,2412.3,2597.2,2704.2,2858.3,2958.5,3033.8,3149.9,3318.6,3441.2,3550.8,3627.5,3745.6,3903.5,4026.7,4134.8,4210.5,4327.8,4517.3,4640.8,4749.7,4853.4,4937,5044.6,5122.4,5241.5,5519.4,5680.1,5788.6,6013.6,6115.3,6274.3,6465,6657.3,6778.2,6887.8,6989.8,7077.1,7183.4,7261.6,7382.9
2029.9,2167.8,2346.4,2474.2,2638.8,2763.6,2911.2,3019.6,3089.3,3227.4,3390.8,3514.8,3615.6,3681,3822.5,3975.7,4099.6,4199.2,4263.9,4407.7,4590.6,4715.2,4814.8,4907.7,4996.6,5109,5182.3,5321.8,5570.5,5726.4,5855.4,6055.8,6189.9,6411.3,6542.2,6731.1,6853.1,6953.8,7048.3,7137.8,7251.3,7319.6,7462.1
