l,l,l,i,l,i,l,i,l,i,l,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,l,i,l,i,l,i,f,a,b,r,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,l,i,l,i,l,i,l,l,i
1979.4,2140.2,2303.9,2502.4,2732.3,2904.6,3130.8,3297.4,3501.6,3698.1,3893.2,4057,4217.8,4427.5,4586.2,4753.6,4887,5383.2,5521.9,5715.8,5845.2,6050.2,6189.3,6349.3,6499,6653,6760.9,6918.6,7094.4,7202.7,7434,7543.1,7730.9,7834.1,7908.1,8025.7,8291.9,8444.7,8547,8623.1,8738.4,8916.6,9036,9144.7,9218.8,9337.1,9548.3,9667.3,9774.9,9876.3,9962,10067,10145,10264,10805,10929,11095,11208,11368,11557,11760,11880,11988,12062,12182,12369,12486,12600,12701,12789,12895,12970,13091,13424,13573,13680,13838,13940,14016,14132,14988,15116,15270,15376,15581,15688,15889,16242,16366
2010.5,2172.4,2338.3,2542.8,2770.4,2951.5,3169,3347.6,3541,3744,3933.1,4099.8,4271,4466.7,4641.2,4796.4,4944.6,5425.5,5578.3,5758.4,5902.7,6092.7,6251.5,6394,6559.3,6699.2,6809.1,6975.1,7139.2,7266.3,7475.8,7617.1,7782.9,7892.7,7967.4,8103,8349.9,8503.4,8610.2,8682.4,8813.7,8990.5,9107.5,9208.8,9277.3,9416.1,9621.8,9741.1,9842,9934,10021,10131,10204,10343,10846,10984,11139,11278,11504,11634,11835,11953,12051,12120,12261,12444,12564,12665,12759,12845,12956,13032,13170,13474,13615,13747,13895,14005,14072,14211,15023,15164,15314,15440,15623,15760,15935,16282,16422
