l,l,l,l,i,l,i,l,i,l,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f
1176.7,1349,1492.7,1625.6,1807.9,1972.3,2077.4,2300.4,2485.6,2739.5,3113.2,3248.6,3462.2,3572.5,3718.6,3895.2,4070.7,4195.2,4302,4376.2,4493.4,4715.6,4840.3,4947.5,5047.2,5132.8,5238.8,5312.6,5433.3,6068.5,6233.2,6343.2,6487.1,6590.8,6665.2,6780.1,6963.4,7087,7198.1,7298.3,7387.8
1213.4,1384,1529.5,1663,1848.6,2008.8,2139.3,2337.5,2529.6,2778.8,3152.6,3304.3,3501.2,3637,3845.8,3971.5,4143.2,4266,4365.4,4437.6,4570.2,4788.2,4909.6,5012.1,5103.8,5193.2,5302.4,5369.3,5510.9,6127.1,6277,6406.7,6545.1,6648.9,6718.5,6860.2,7035.7,7156.5,7262.4,7355.6,7445.1
