l,l,l,l,i,l,i,l,i,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r
1985.2,2256.5,2808.6,2965.6,3142.6,3428.3,3548.7,3880.6,3985.4,4361.9,4496.8,4601.8,4776.4,4879.9,4957.4,5074.7,5263.3,5382.6,5493.5,5595.9,5685.4,5791.4,5868.6,5986.9,6186.5,6307.1,6417.3,6497.6,6609.9,6747.2,6871,6985,7088.7,7175.2,7284.1,7361.3,7481.7,7746.3,7903.8,8011.3,8180.8,8284.3,8448.4,8552.1,8628.2,8747.6,8906.3,9024.8,9141.2,9245.4,9331.7,9438.9,9515.5,9635.6,10196,10339,10549,10685,10786,10930,11030,11198,11366,11536,11660,11768,11844,11964,12103,12227,12338,12440,12528,12635,12713,12837,13032,13135,13307,13407,13485,13605,13783,13911,14022,14126,14214,14324,14400,14520,14835,14976,15084,15442,15548,15726,15831,16054,16156,16309,16503,16689,16808,16920,16998,17117
2022.5,2296.7,2849.8,3004.2,3186,3474.5,3613.1,3918.6,4052.5,4425.2,4543.2,4669.7,4836.1,4942.4,5017.7,5155.6,5336.3,5453.6,5558.9,5654,5746.8,5854.2,5930.2,6062.6,6258.8,6380.6,6487.2,6555.8,6691.2,6824,6944.2,7053.8,7147.3,7237.1,7350.2,7422.8,7564.5,7806.9,7954.4,8084.4,8231.1,8354.1,8509.3,8619.4,8689,8830.8,8981.5,9102.5,9209.3,9304.2,9394,9508.3,9577.3,9720.2,10243,10386,10600,10724,10851,10974,11100,11310,11444,11610,11730,11831,11899,12043,12179,12300,12402,12497,12582,12699,12766,12914,13071,13196,13364,13474,13544,13684,13857,13985,14090,14183,14271,14387,14458,14603,14894,15019,15155,15486,15616,15769,15902,16095,16231,16445,16581,16761,16880,16984,17056,17196
