l,l,l,i,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1737.5,1972.2,2233.4,2473.2,2719.2,2880.2,3083.6,3246.9,3462,3655.9,3939.3,4102.9,4270.9,4407.5,4599.3,4709.6,4853.9,5035.2,5266.2,5375.4,5478.7,5552.2,5664.6,5837.7,5949.7,6057.5,6155.2,6237.5,6341.1,6414.7,6532.5,6734.2,6856.1,6963.9,7061.6,7146.2,7249.6,7322.6,7438.6,7743.4,7945,8047.6,8208.2,8306.5,8381.4,8495.8,8700.9,8820.6,8926.7,9024.4,9109.4,9213.2,9288.9,9406.1,10101,10285,10421,10665,10800,10970,11077,11294,11407,11562,11751,11939,12070,12178,12275,12358,12463,12537,12654,12851,12972,13082,13180,13266,13374,13448,13573
1770.1,2005.9,2270.1,2511.8,2754.5,2930.7,3122.1,3295.9,3496.1,3701.2,3979.1,4149.1,4309.6,4463.5,4635.9,4774.2,4982.1,5104.9,5333.5,5443.1,5542.3,5608.1,5742.1,5908,6020.8,6115.2,6208.8,6291,6401.9,6469.4,6608.2,6803.5,6925.2,7022.2,7116.6,7203.3,7312.4,7383,7517.6,7794.2,7985.9,8120.1,8265.4,8368.8,8439.5,8572.1,8772,8889.5,8986.2,9081.5,9167.4,9275.2,9346.7,9478.5,10146,10327,10480,10706,10853,11012,11147,11335,11472,11697,11826,12014,12141,12238,12332,12413,12521,12593,12729,12923,13044,13146,13239,13320,13437,13506,13649
