l,l,l,i,l,i,l,i,l,i,l,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1979.5,2165.2,2346.2,2531.2,2771.1,2978.3,3177.2,3355.1,3741.5,3908.6,4102.3,4355.9,4496.4,4656.5,4773.3,4941.5,5043.5,5118.1,5235.4,5406.6,5525.3,5635.4,5735.4,5822.1,5926.2,6002.6,6120.2,6316.3,6435.2,6544.7,6626.3,6740.8,7145.8,7309.9,7412.9,7562.8,7756.8,7945.3,8067,8175.2,8252.3,8372.4,8545.9,8668.8,8779.9,8880.1,8965.1,9074.2,9148.6,9268.3,9595.7,9760.8,9869.2,10022,10208,10408,10531,10641,10742,10828,10933,11009,11129,11549,11726,11830,11991,12174,12349,12470,12582,12683,12771,12876,12953,13072,13777,13947,14078,14308,14423,14614,14724,14883,14984,15060,15178,15359,15482,15593,15694,15782,15888,15964,16092,16457,16620,16730,16904,17006,17082,17201,17424,17550,17662,17763,17852,17958,18034,18159
2011.8,2200.6,2383.9,2578.1,2809.7,3028.2,3212.2,3403.6,3778.2,3960.2,4143.7,4391.4,4549.6,4698,4841.6,4995.7,5101.5,5172.9,5309.3,5474.8,5594.3,5696.8,5790.9,5881.2,5984.8,6059.8,6193.5,6388.1,6506.3,6608.4,6676.3,6817.5,7200.3,7351,7484.1,7705.1,7832,8020.4,8140,8234.9,8308.4,8449.8,8623.3,8738.9,8843.1,8933.8,9025.2,9131.8,9207.5,9345.5,9647.1,9804.2,9936.6,10155,10286,10478,10602,10706,10800,10889,10993,11065,11208,11596,11767,11900,12121,12252,12424,12547,12644,12740,12832,12937,13010,13148,13824,13988,14126,14353,14496,14653,14791,14938,15047,15115,15254,15437,15556,15656,15752,15842,15948,16021,16166,16503,16664,16796,16962,17070,17138,17280,17495,17622,17725,17819,17912,18022,18093,18234
