l,i,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l
1995.6,2233.4,2437.5,2624.1,2822.9,2962.3,3153.4,3257.9,3484,3657.8,3982.2,4112.8,4273.2,4378.6,4516.4,4694.2,4834.4,4948.2,5053.6,5125.8,5237.4,5387.8,5502.3,5606.1,5703,5783.4,5884,5957.2,6074.6,6785.3,6945.9,7049.9,7202.2,7385.6,7567.5,7680.9,7783.8,7882.5,7964.9,8067.9,8140.7,8257.2,8738.6,8936.2
2030.7,2280.8,2474.8,2674.6,2865.3,3014.8,3190.7,3317.9,3527.8,3714.5,4024,4171.2,4316.3,4452.2,4645.5,4769.1,4900.1,5016.4,5115.3,5181.3,5315.7,5458.4,5571.6,5669.7,5757.4,5843.1,5948.6,6019.7,6154.1,6833.9,6984.9,7119.8,7334.2,7461.3,7636.5,7749,7850.3,7937.8,8024.4,8129.9,8203.8,8335.8,8790.6,8977
