l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1994.7,2123.2,2292.4,2411.1,2586.6,2693.2,2884.5,2994.8,3145.1,3314.2,3477.8,3593.9,3701.5,3800.9,3884.5,3987.2,4061.1,4176.2,4342.3,4458.3,4566.9,4665.9,4749.8,4855.4,4929.9,5045.1,5242,5363,5470.6,5547.4,5662,5838,5956.5,6067,6164.4,6249.5,6353.8,6429.4,6547.4,6797.2,6951.6,7052.3,7211.7,7394.8,7568.1,7690.7,7799,7898.3,7983,8086.8,8163,8278.9,8476.8,8594.4,8706.8,8805.4,8890.9,8994,9071.3,9188.6
2033.5,2174.3,2334.3,2467.8,2628.9,2755.2,2930.4,3065.8,3259.4,3389.4,3550.7,3665.3,3764.5,3855.9,3940.7,4050.2,4118.5,4253.2,4415.5,4531.5,4631.7,4722.9,4809.3,4919.4,4987,5122.8,5315.4,5435.2,5537,5606.6,5741.6,5911.7,6031.6,6131.6,6221.7,6306.8,6416.8,6487.7,6624.6,6857.5,6996.3,7124.3,7342.3,7470.1,7640.6,7764.3,7863.7,7954.9,8038.2,8151.7,8215.9,8358.7,8551.8,8669.3,8768.8,8861.5,8946.2,9058.5,9128.6,9267.9
